Date,Accident,Suicide,Assault,Unknown
1/1/2018,39,2172,1271,33
2/1/2018,23,1837,1029,18
3/1/2018,27,2092,1058,23
4/1/2018,26,2027,1135,25
5/1/2018,40,2124,1159,30
6/1/2018,25,2018,1229,25
7/1/2018,25,2139,1293,26
8/1/2018,24,2149,1164,28
9/1/2018,26,2053,1215,27
10/1/2018,31,2075,1143,17
11/1/2018,38,1867,1095,20
12/1/2018,33,1902,1185,17
1/1/2019,34,1958,1162,30
2/1/2019,27,1820,1004,19
3/1/2019,26,2157,1065,27
4/1/2019,32,2070,1080,22
5/1/2019,34,1957,1225,32
6/1/2019,28,2059,1272,20
7/1/2019,32,2121,1345,23
8/1/2019,34,2082,1261,31
9/1/2019,48,2019,1251,17
10/1/2019,39,1981,1226,14
11/1/2019,36,1873,1231,37
12/1/2019,40,1881,1308,19
1/1/2020,26,2123,1272,14
2/1/2020,30,1951,1094,32
3/1/2020,39,2087,1260,26
4/1/2020,36,1802,1335,23
5/1/2020,35,1970,1591,18
6/1/2020,35,2121,1772,22
7/1/2020,35,2211,1933,44
8/1/2020,39,2143,1885,29
9/1/2020,35,2059,1748,25
10/1/2020,42,1981,1880,34
11/1/2020,54,1946,1835,25
12/1/2020,59,1940,1806,35
1/1/2021,44,2151,1704,34
2/1/2021,38,1980,1439,28
3/1/2021,32,2153,1534,20
4/1/2021,24,2072,1647,30
5/1/2021,35,2186,1905,41
6/1/2021,51,2250,1879,36
7/1/2021,45,2241,1977,34
8/1/2021,39,2381,1849,35
9/1/2021,47,2304,1830,32
10/1/2021,45,2303,1916,35
11/1/2021,49,2200,1613,26
12/1/2021,49,2140,1715,33
