Year,State,County,State FIPS Code,County Code,County FIPS Code,PovertyRate,Multiple Cause of death,Multiple Cause of death Code,Deaths,Intent,
2018,Alabama,"Jefferson County, AL",01,73,01073,16.1,Intentional self-harm by handgun discharge,X72,39,Suicide,
2018,Alabama,"Madison County, AL",01,89,01089,11.9,Intentional self-harm by handgun discharge,X72,22,Suicide,
2018,Alabama,"Morgan County, AL",01,103,01103,13.2,Intentional self-harm by handgun discharge,X72,12,Suicide,
2018,Alabama,"Baldwin County, AL",01,3,01003,9.8,Intentional self-harm by other and unspecified firearm discharge,X74,14,Suicide,
2018,Alabama,"Calhoun County, AL",01,15,01015,19.5,Intentional self-harm by other and unspecified firearm discharge,X74,19,Suicide,
2018,Alabama,"Colbert County, AL",01,33,01033,13.8,Intentional self-harm by other and unspecified firearm discharge,X74,10,Suicide,
2018,Alabama,"Dale County, AL",01,45,01045,16.2,Intentional self-harm by other and unspecified firearm discharge,X74,10,Suicide,
2018,Alabama,"DeKalb County, AL",01,49,01049,21.3,Intentional self-harm by other and unspecified firearm discharge,X74,10,Suicide,
2018,Alabama,"Elmore County, AL",01,51,01051,11.2,Intentional self-harm by other and unspecified firearm discharge,X74,16,Suicide,
2018,Alabama,"Etowah County, AL",01,55,01055,17.5,Intentional self-harm by other and unspecified firearm discharge,X74,15,Suicide,
2018,Alabama,"Houston County, AL",01,69,01069,16.5,Intentional self-harm by other and unspecified firearm discharge,X74,14,Suicide,
2018,Alabama,"Jackson County, AL",01,71,01071,19.7,Intentional self-harm by other and unspecified firearm discharge,X74,13,Suicide,
2018,Alabama,"Jefferson County, AL",01,73,01073,16.1,Intentional self-harm by other and unspecified firearm discharge,X74,11,Suicide,
2018,Alabama,"Lee County, AL",01,81,01081,19,Intentional self-harm by other and unspecified firearm discharge,X74,13,Suicide,
2018,Alabama,"Limestone County, AL",01,83,01083,11.4,Intentional self-harm by other and unspecified firearm discharge,X74,12,Suicide,
2018,Alabama,"Madison County, AL",01,89,01089,11.9,Intentional self-harm by other and unspecified firearm discharge,X74,13,Suicide,
2018,Alabama,"Mobile County, AL",01,97,01097,20.8,Intentional self-harm by other and unspecified firearm discharge,X74,38,Suicide,
2018,Alabama,"Montgomery County, AL",01,101,01101,20.1,Intentional self-harm by other and unspecified firearm discharge,X74,13,Suicide,
2018,Alabama,"St. Clair County, AL",01,115,01115,12,Intentional self-harm by other and unspecified firearm discharge,X74,15,Suicide,
2018,Alabama,"Shelby County, AL",01,117,01117,8,Intentional self-harm by other and unspecified firearm discharge,X74,16,Suicide,
2018,Alabama,"Tuscaloosa County, AL",01,125,01125,16.8,Intentional self-harm by other and unspecified firearm discharge,X74,21,Suicide,
2018,Alabama,"Jefferson County, AL",01,73,01073,16.1,Assault by handgun discharge,X93,62,Assault,
2018,Alabama,"Jefferson County, AL",01,73,01073,16.1,"Assault by rifle, shotgun and larger firearm discharge",X94,13,Assault,
2018,Alabama,"Calhoun County, AL",01,15,01015,19.5,Assault by other and unspecified firearm discharge,X95,14,Assault,
2018,Alabama,"Dallas County, AL",01,47,01047,31.4,Assault by other and unspecified firearm discharge,X95,16,Assault,
2018,Alabama,"Jefferson County, AL",01,73,01073,16.1,Assault by other and unspecified firearm discharge,X95,64,Assault,
2018,Alabama,"Lee County, AL",01,81,01081,19,Assault by other and unspecified firearm discharge,X95,12,Assault,
2018,Alabama,"Madison County, AL",01,89,01089,11.9,Assault by other and unspecified firearm discharge,X95,24,Assault,
2018,Alabama,"Mobile County, AL",01,97,01097,20.8,Assault by other and unspecified firearm discharge,X95,48,Assault,
2018,Alabama,"Montgomery County, AL",01,101,01101,20.1,Assault by other and unspecified firearm discharge,X95,41,Assault,
2018,Alabama,"Tuscaloosa County, AL",01,125,01125,16.8,Assault by other and unspecified firearm discharge,X95,10,Assault,
2019,Alabama,"Jefferson County, AL",01,73,01073,16.2,Intentional self-harm by handgun discharge,X72,53,Suicide,
2019,Alabama,"Morgan County, AL",01,103,01103,13.7,Intentional self-harm by handgun discharge,X72,10,Suicide,
2019,Alabama,"Shelby County, AL",01,117,01117,6.2,Intentional self-harm by handgun discharge,X72,11,Suicide,
2019,Alabama,"Baldwin County, AL",01,3,01003,10.1,Intentional self-harm by other and unspecified firearm discharge,X74,21,Suicide,
2019,Alabama,"Calhoun County, AL",01,15,01015,17.2,Intentional self-harm by other and unspecified firearm discharge,X74,15,Suicide,
2019,Alabama,"Colbert County, AL",01,33,01033,14.6,Intentional self-harm by other and unspecified firearm discharge,X74,12,Suicide,
2019,Alabama,"DeKalb County, AL",01,49,01049,18.2,Intentional self-harm by other and unspecified firearm discharge,X74,18,Suicide,
2019,Alabama,"Elmore County, AL",01,51,01051,11.4,Intentional self-harm by other and unspecified firearm discharge,X74,12,Suicide,
2019,Alabama,"Etowah County, AL",01,55,01055,18.8,Intentional self-harm by other and unspecified firearm discharge,X74,16,Suicide,
2019,Alabama,"Houston County, AL",01,69,01069,19.4,Intentional self-harm by other and unspecified firearm discharge,X74,11,Suicide,
2019,Alabama,"Lee County, AL",01,81,01081,15.5,Intentional self-harm by other and unspecified firearm discharge,X74,10,Suicide,
2019,Alabama,"Madison County, AL",01,89,01089,11.5,Intentional self-harm by other and unspecified firearm discharge,X74,39,Suicide,
2019,Alabama,"Mobile County, AL",01,97,01097,17.7,Intentional self-harm by other and unspecified firearm discharge,X74,42,Suicide,
2019,Alabama,"Montgomery County, AL",01,101,01101,15.8,Intentional self-harm by other and unspecified firearm discharge,X74,17,Suicide,
2019,Alabama,"Talladega County, AL",01,121,01121,17.4,Intentional self-harm by other and unspecified firearm discharge,X74,12,Suicide,
2019,Alabama,"Tuscaloosa County, AL",01,125,01125,16.2,Intentional self-harm by other and unspecified firearm discharge,X74,17,Suicide,
2019,Alabama,"Walker County, AL",01,127,01127,17.3,Intentional self-harm by other and unspecified firearm discharge,X74,10,Suicide,
2019,Alabama,"Jefferson County, AL",01,73,01073,16.2,Assault by handgun discharge,X93,78,Assault,
2019,Alabama,"Houston County, AL",01,69,01069,19.4,Assault by other and unspecified firearm discharge,X95,10,Assault,
2019,Alabama,"Jefferson County, AL",01,73,01073,16.2,Assault by other and unspecified firearm discharge,X95,53,Assault,
2019,Alabama,"Lee County, AL",01,81,01081,15.5,Assault by other and unspecified firearm discharge,X95,10,Assault,
2019,Alabama,"Macon County, AL",01,87,01087,29.3,Assault by other and unspecified firearm discharge,X95,11,Assault,
2019,Alabama,"Madison County, AL",01,89,01089,11.5,Assault by other and unspecified firearm discharge,X95,23,Assault,
2019,Alabama,"Mobile County, AL",01,97,01097,17.7,Assault by other and unspecified firearm discharge,X95,54,Assault,
2019,Alabama,"Montgomery County, AL",01,101,01101,15.8,Assault by other and unspecified firearm discharge,X95,37,Assault,
2019,Alabama,"Russell County, AL",01,113,01113,18.9,Assault by other and unspecified firearm discharge,X95,12,Assault,
2019,Alabama,"Talladega County, AL",01,121,01121,17.4,Assault by other and unspecified firearm discharge,X95,11,Assault,
2019,Alabama,"Tuscaloosa County, AL",01,125,01125,16.2,Assault by other and unspecified firearm discharge,X95,15,Assault,
2020,Alabama,"Jefferson County, AL",01,73,01073,14.4,Intentional self-harm by handgun discharge,X72,37,Suicide,
2020,Alabama,"Lee County, AL",01,81,01081,17.9,Intentional self-harm by handgun discharge,X72,11,Suicide,
2020,Alabama,"Shelby County, AL",01,117,01117,7,Intentional self-harm by handgun discharge,X72,12,Suicide,
2020,Alabama,"Baldwin County, AL",01,3,01003,8.9,Intentional self-harm by other and unspecified firearm discharge,X74,29,Suicide,
